N,degree,beta,k,h,success_rate,avg_overhead,min_overhead,q1_overhead,median_overhead,q3_overhead,max_overhead,avg_latency,min_latency,q1_latency,median_latency,q3_latency,max_latency,total_overhead
500000,30,1.0,20,500,0.44,7854.18,56,6477.25,10000.0,10000.0,10000,256.65909090909093,3,107.5,269.5,408.25,486,
500000,30,1.0,20,600,0.42,9209.83,90,5959.0,12000.0,12000.0,12000,268.3095238095238,5,133.5,247.0,414.75,573,
500000,30,1.0,20,700,0.5,10043.17,79,5379.25,13897.5,14000.0,14000,304.7,4,83.5,257.5,518.5,690,
500000,30,1.0,20,800,0.55,10579.28,319,4603.75,13532.0,16000.0,16000,307.6727272727273,16,125.5,251.0,438.0,800,
500000,30,1.0,30,100,0.09,2854.31,65,3000.0,3000.0,3000.0,3000,46.44444444444444,3,32.0,36.0,74.0,91,
500000,30,1.0,30,200,0.34,4883.87,75,4307.5,6000.0,6000.0,6000,91.20588235294117,3,46.0,84.5,144.25,190,
500000,30,1.0,30,300,0.38,7192.22,371,5004.5,9000.0,9000.0,9000,141.89473684210526,13,70.25,134.0,216.75,290,
500000,30,1.0,30,400,0.54,8109.34,340,3886.5,10367.5,12000.0,12000,160.2962962962963,12,75.25,140.0,240.5,381,
500000,30,1.0,30,500,0.52,10313.73,312,5263.25,13842.0,15000.0,15000,200.09615384615384,11,66.25,179.5,325.0,487,
500000,30,1.0,30,600,0.55,12366.51,174,6795.75,15057.0,18000.0,18000,259.03636363636366,6,113.0,239.0,398.5,590,
500000,30,1.0,30,700,0.76,11536.92,197,4023.5,11075.0,20654.5,21000,285.4868421052632,7,103.0,242.0,474.5,690,
500000,30,1.0,30,800,0.73,13870.77,300,5202.0,14894.0,24000.0,24000,337.93150684931504,10,128.0,292.0,534.0,797,
500000,30,1.0,40,100,0.27,3433.87,106,3756.5,4000.0,4000.0,4000,48.074074074074076,3,24.5,50.0,72.0,100,
500000,30,1.0,40,200,0.36,6450.26,421,5244.0,8000.0,8000.0,8000,92.86111111111111,11,41.5,90.5,139.0,199,
500000,30,1.0,40,300,0.44,8924.13,350,5251.0,12000.0,12000.0,12000,125.75,9,63.75,123.0,172.0,275,
500000,30,1.0,40,400,0.56,10813.35,599,5567.0,13091.0,16000.0,16000,168.92857142857142,15,91.25,161.5,217.0,378,
500000,30,1.0,40,500,0.71,10885.51,89,4541.5,10100.5,20000.0,20000,179.59154929577466,3,83.5,153.0,279.5,463,
500000,30,1.0,40,600,0.68,13984.77,180,5705.5,13565.0,24000.0,24000,232.3235294117647,5,74.0,209.5,355.25,585,
500000,30,1.0,40,700,0.69,15685.78,460,7309.5,13107.0,28000.0,28000,254.2753623188406,12,87.0,215.0,339.0,674,
500000,30,1.0,40,800,0.74,16512.51,196,4680.25,14608.5,32000.0,32000,277.31081081081084,5,70.5,212.5,441.0,799,
500000,30,1.0,50,100,0.24,4276.91,163,5000.0,5000.0,5000.0,5000,40.166666666666664,4,12.75,36.5,64.75,90,
500000,30,1.0,50,200,0.51,7106.47,269,4084.5,9293.0,10000.0,10000,87.0,6,51.5,83.0,127.0,196,
500000,30,1.0,50,300,0.57,9792.22,239,4574.25,11817.5,15000.0,15000,117.70175438596492,5,51.0,102.0,156.0,300,
500000,30,1.0,50,400,0.62,12434.79,221,5378.25,13749.0,20000.0,20000,156.43548387096774,5,62.0,129.5,248.5,380,
500000,30,1.0,50,500,0.74,14229.96,384,6447.5,14570.5,25000.0,25000,209.47297297297297,8,84.75,200.5,326.25,494,
500000,30,1.0,50,600,0.81,14340.57,327,4902.0,11858.0,24821.5,30000,213.8395061728395,7,81.0,170.0,322.0,593,
500000,30,1.0,50,700,0.83,14492.26,322,3649.5,9503.0,26713.0,35000,206.289156626506,7,63.5,152.0,294.0,674,
500000,30,1.0,50,800,0.85,16629.79,211,4445.25,14007.5,29569.5,40000,250.57647058823528,5,76.0,173.0,394.0,715,
500000,30,1.0,60,100,0.25,5213.62,280,5923.25,6000.0,6000.0,6000,48.12,5,23.0,55.0,68.0,95,
500000,30,1.0,60,200,0.45,9165.53,473,6047.5,12000.0,12000.0,12000,95.5111111111111,8,48.0,83.0,141.0,200,
500000,30,1.0,60,300,0.61,11082.65,449,4491.5,11030.0,18000.0,18000,111.50819672131148,8,52.0,92.0,163.0,299,
500000,30,1.0,60,400,0.61,14326.94,574,5192.5,13477.0,24000.0,24000,136.18032786885246,10,53.0,118.0,199.0,393,
500000,30,1.0,60,500,0.7,16302.02,181,6350.25,14673.5,30000.0,30000,174.3,4,63.5,137.5,272.0,489,
500000,30,1.0,60,600,0.81,16012.78,213,3800.75,12780.0,26154.75,36000,189.19753086419752,4,52.0,126.0,318.0,586,
500000,30,1.0,60,700,0.8,19345.8,164,5603.0,15232.5,34217.0,42000,228.4875,3,75.0,194.5,333.25,700,
500000,30,1.0,60,800,0.87,18044.44,299,4879.5,11544.0,30002.5,48000,226.632183908046,5,72.0,161.0,361.5,792,
500000,30,1.0,70,100,0.27,6030.45,1087,6041.25,7000.0,7000.0,7000,49.148148148148145,16,24.0,49.0,72.0,99,
500000,30,1.0,70,200,0.46,10558.32,427,6605.0,14000.0,14000.0,14000,93.56521739130434,7,38.0,88.0,158.25,196,
500000,30,1.0,70,300,0.65,12493.36,179,5799.75,12449.5,21000.0,21000,113.6,3,47.0,113.0,175.0,272,
500000,30,1.0,70,400,0.69,15127.2,655,6100.0,12799.5,28000.0,28000,133.9855072463768,10,51.0,126.0,187.0,400,
500000,30,1.0,70,500,0.7,18645.32,424,7571.25,16488.0,35000.0,35000,166.7,7,68.0,142.0,243.75,421,
500000,30,1.0,70,600,0.84,17426.93,438,4525.75,13486.5,29482.0,42000,182.52380952380952,7,44.75,138.0,287.5,567,
500000,30,1.0,70,700,0.88,19510.9,242,7042.5,14744.5,29790.75,49000,221.8181818181818,4,82.25,191.5,356.75,641,
500000,30,1.0,70,800,0.9,19657.57,274,7221.25,13841.5,26229.0,56000,223.63333333333333,4,80.75,171.5,309.75,771,
500000,30,1.0,80,100,0.31,6778.55,407,7185.75,8000.0,8000.0,8000,51.354838709677416,6,28.0,44.0,70.5,97,
500000,30,1.0,80,200,0.65,9720.57,561,4453.5,10076.5,16000.0,16000,79.72307692307692,8,35.0,69.0,119.0,193,
500000,30,1.0,80,300,0.63,15055.35,284,6112.25,16313.5,24000.0,24000,122.98412698412699,4,52.5,115.0,182.5,300,
500000,30,1.0,80,400,0.77,17098.62,615,6184.5,15812.0,29402.25,32000,158.5974025974026,8,55.0,140.0,250.0,372,
500000,30,1.0,80,500,0.79,18343.11,739,5296.25,14208.0,35302.25,40000,157.79746835443038,10,54.0,131.0,237.0,491,
500000,30,1.0,80,600,0.84,21065.82,644,7539.0,16691.5,32986.0,48000,199.71428571428572,9,80.5,153.5,297.25,586,
500000,30,1.0,80,700,0.89,20048.35,601,6062.5,13963.0,30258.75,56000,195.56179775280899,8,70.0,143.0,305.0,603,
500000,30,1.0,80,800,0.94,21304.05,935,5436.75,13000.5,29793.0,64000,232.70212765957447,12,68.0,144.0,311.0,781,
500000,40,0.1,20,100,0.14,1878.69,50,2000.0,2000.0,2000.0,2000,57.214285714285715,3,33.5,70.5,78.5,91,
500000,40,0.1,20,200,0.25,3486.43,241,3950.0,4000.0,4000.0,4000,97.88,13,50.0,88.0,162.0,190,
500000,40,0.1,20,300,0.38,4773.88,61,3717.5,6000.0,6000.0,6000,139.1315789473684,4,69.5,144.5,201.25,277,
500000,40,0.1,20,400,0.49,5786.34,193,3266.5,8000.0,8000.0,8000,174.59183673469389,10,83.0,154.0,278.0,373,
500000,40,0.1,20,500,0.53,6833.96,49,3210.75,9418.5,10000.0,10000,201.83018867924528,3,64.0,167.0,301.0,489,
500000,40,0.1,20,600,0.62,8048.09,234,4068.25,9015.0,12000.0,12000,281.758064516129,12,146.75,230.5,433.5,595,
500000,40,0.1,20,700,0.63,8753.89,285,3835.0,10053.5,14000.0,14000,284.1111111111111,15,131.5,247.0,456.0,667,
500000,40,0.1,20,800,0.72,9033.26,147,4032.5,8712.0,16000.0,16000,316.625,8,128.5,278.0,524.75,766,
500000,40,0.1,30,100,0.21,2656.76,116,3000.0,3000.0,3000.0,3000,45.95238095238095,4,12.0,52.0,84.0,99,
500000,40,0.1,30,200,0.38,4675.82,189,3587.75,6000.0,6000.0,6000,84.3157894736842,7,33.0,80.0,124.75,190,
500000,40,0.1,30,300,0.48,6441.46,260,3662.75,9000.0,9000.0,9000,122.79166666666667,9,60.5,114.0,172.0,288,
500000,40,0.1,30,400,0.61,7535.84,107,2951.25,9140.5,12000.0,12000,156.54098360655738,4,55.0,123.0,247.0,395,
500000,40,0.1,30,500,0.7,8257.0,263,3258.25,6933.5,15000.0,15000,179.35714285714286,9,74.25,161.5,251.5,492,
500000,40,0.1,30,600,0.81,8752.63,275,3451.75,7287.0,14923.75,18000,219.91358024691357,10,86.0,182.0,322.0,595,
500000,40,0.1,30,700,0.8,11494.69,435,3854.5,11041.0,19875.0,21000,304.4125,15,111.5,277.5,508.25,698,
500000,40,0.1,30,800,0.79,11438.6,208,3112.75,9773.0,21218.25,24000,270.43037974683546,7,89.5,197.0,391.5,792,
500000,40,0.1,40,100,0.24,3419.71,260,4000.0,4000.0,4000.0,4000,40.0,7,15.75,39.0,55.25,87,
