system,node+AF8-count,files+AF8-on+AF8-network,payload+AF8-size,upload+AF8-ms,download+AF8-total+AF8-ms
our+AF8-system,50,112,262144,125.786,84.232135
our+AF8-system,50,113,262144,159.118333,71.92006
our+AF8-system,50,114,262144,86.048,82.632952
our+AF8-system,50,115,262144,113.198,92.822755
our+AF8-system,50,116,262144,177.833333,93.170371
our+AF8-system,50,117,262144,104.896,82.24151
our+AF8-system,50,118,262144,124.007,101.380853
our+AF8-system,50,119,262144,117.91,93.994896
our+AF8-system,50,120,262144,110.415333,88.270384
our+AF8-system,50,121,262144,120.392,95.196835
our+AF8-system,50,122,262144,123.652,104.699008
our+AF8-system,50,123,262144,177.066333,98.590363
our+AF8-system,50,124,262144,111.835333,89.49468
our+AF8-system,50,125,262144,105.256333,102.592317
our+AF8-system,50,126,262144,86.688666,82.302361
our+AF8-system,50,127,262144,116.416,103.941523
our+AF8-system,50,128,262144,144.994666,107.889592
our+AF8-system,50,129,262144,153.865,111.614759
our+AF8-system,50,130,262144,140.369333,108.535502
our+AF8-system,50,131,262144,119.638666,75.176682
our+AF8-system,50,132,262144,126.822333,99.599263
our+AF8-system,50,133,262144,136.167666,111.3308
our+AF8-system,50,134,262144,155.951666,111.498373
our+AF8-system,50,135,262144,183.268,111.428341
our+AF8-system,50,136,262144,133.609666,106.399715
our+AF8-system,50,137,262144,86.837666,115.60107
our+AF8-system,50,138,262144,96.104,93.279847
our+AF8-system,50,139,262144,141.361,103.782256
our+AF8-system,50,140,262144,172.275,90.494915
our+AF8-system,50,141,262144,151.003333,91.901587
our+AF8-system,50,142,262144,108.874666,86.225515
our+AF8-system,50,143,262144,82.024,90.575658
our+AF8-system,50,144,262144,112.877666,101.618747
our+AF8-system,50,145,262144,96.056,90.673157
our+AF8-system,50,146,262144,99.693666,92.203904
our+AF8-system,50,147,262144,101.321333,108.08968
our+AF8-system,50,148,262144,89.531,103.16869
our+AF8-system,50,149,262144,98.267333,105.539188
our+AF8-system,50,150,262144,85.16,93.543377
our+AF8-system,50,151,262144,96.288666,84.790418
our+AF8-system,50,152,262144,105.564666,78.853853
our+AF8-system,50,153,262144,120.204333,117.127659
our+AF8-system,50,154,262144,137.197666,102.228621
our+AF8-system,50,155,262144,125.382666,104.306469
our+AF8-system,50,156,262144,193.46,95.307774
our+AF8-system,50,157,262144,123.772333,102.66074
our+AF8-system,50,158,262144,142.786333,95.504805
our+AF8-system,50,159,262144,124.300666,91.201437
our+AF8-system,50,160,262144,116.446666,112.054269
our+AF8-system,50,161,262144,122.239333,100.294051
our+AF8-system,50,162,262144,125.094666,100.445896
our+AF8-system,50,163,262144,119.954333,100.767813
our+AF8-system,50,164,262144,115.322666,109.489947
our+AF8-system,50,165,262144,87.084333,111.350497
our+AF8-system,50,166,262144,63.877666,104.340722
our+AF8-system,50,167,262144,70.626333,117.556571
our+AF8-system,50,168,262144,69.733,96.003705
our+AF8-system,50,169,262144,92.159333,109.681832
our+AF8-system,50,170,262144,145.187,81.521574
our+AF8-system,50,171,262144,99.769333,62.579037
our+AF8-system,50,172,262144,128.884666,81.591243
our+AF8-system,50,173,262144,100.301,103.06637
our+AF8-system,50,174,262144,111.523333,92.034307
our+AF8-system,50,175,262144,108.667666,74.87351
our+AF8-system,50,176,262144,115.328666,73.42164
our+AF8-system,50,177,262144,94.420333,76.15858
our+AF8-system,50,178,262144,98.11,95.495179
our+AF8-system,50,179,262144,135.936666,81.441671
our+AF8-system,50,180,262144,140.541666,106.058758
our+AF8-system,50,181,262144,166.671333,98.683991
our+AF8-system,50,182,262144,130.234,90.026215
our+AF8-system,50,183,262144,129.319333,86.772688
our+AF8-system,50,184,262144,114.722666,59.412112
our+AF8-system,50,185,262144,179.433,102.669493
our+AF8-system,50,186,262144,96.303333,98.765574
our+AF8-system,50,187,262144,98.994666,79.731822
our+AF8-system,50,188,262144,87.208666,78.031028
our+AF8-system,50,189,262144,99.712,95.970661
our+AF8-system,50,190,262144,91.984333,81.051888
our+AF8-system,50,191,262144,107.335,71.431624
our+AF8-system,50,192,262144,128.757,117.742442
our+AF8-system,50,193,262144,160.936666,99.673551
our+AF8-system,50,194,262144,209.946,109.356662
our+AF8-system,50,195,262144,167.935333,113.094021
our+AF8-system,50,196,262144,138.663,109.85998
our+AF8-system,50,197,262144,160.245333,112.276701
our+AF8-system,50,198,262144,147.230333,96.965688
our+AF8-system,50,199,262144,173.221333,94.564511
our+AF8-system,50,200,262144,208.886666,90.335935
our+AF8-system,50,201,262144,186.411,91.470504
our+AF8-system,50,202,262144,66.698666,102.20655
our+AF8-system,50,203,262144,91.102,80.86194
our+AF8-system,50,204,262144,79.34,79.116395
our+AF8-system,50,205,262144,94.023,81.959281
our+AF8-system,50,206,262144,65.786333,107.336256
our+AF8-system,50,207,262144,75.802,85.777804
our+AF8-system,50,208,262144,82.278666,109.490554
our+AF8-system,50,209,262144,115.221666,107.429456
our+AF8-system,50,210,262144,104.411333,97.462349
our+AF8-system,50,211,262144,122.803333,93.741574
our+AF8-system,50,212,262144,166.109,108.125184
our+AF8-system,50,213,262144,131.817,77.269489
our+AF8-system,50,214,262144,290.909333,115.220393
our+AF8-system,50,215,262144,239.948333,106.317785
our+AF8-system,50,216,262144,195.738,66.673883
our+AF8-system,50,217,262144,175.250666,89.659851
our+AF8-system,50,218,262144,181.833666,102.67333
our+AF8-system,50,219,262144,100.484333,116.356104
our+AF8-system,50,220,262144,109.958666,93.17098
our+AF8-system,50,221,262144,120.274666,92.472167
our+AF8-system,50,222,262144,84.018333,98.524359
our+AF8-system,50,223,262144,119.728,103.530141
our+AF8-system,50,224,262144,90.672666,93.197639
our+AF8-system,50,225,262144,66.015333,93.33267
