system,node+AF8-count,files+AF8-on+AF8-network,payload+AF8-size,upload+AF8-ms,download+AF8-total+AF8-ms
swarm,50,133,262144,33.119666,105.54231
swarm,50,134,262144,41.713333,115.165341
swarm,50,135,262144,185.432333,162.275435
swarm,50,136,262144,44.042,92.109129
swarm,50,137,262144,186.339666,275.312923
swarm,50,138,262144,77.418333,106.102757
swarm,50,139,262144,65.131666,100.21031
swarm,50,140,262144,81.286666,76.472692
swarm,50,141,262144,56.167333,116.557324
swarm,50,142,262144,77.922,112.290845
swarm,50,143,262144,64.747,118.051692
swarm,50,144,262144,55.084666,97.69916
swarm,50,145,262144,132.766333,116.539949
swarm,50,146,262144,29.883333,108.435223
swarm,50,147,262144,28.280666,113.280115
swarm,50,148,262144,250.183333,91.405848
swarm,50,149,262144,207.896333,102.780283
swarm,50,150,262144,325.097666,100.45082
swarm,50,151,262144,18.303333,97.189347
swarm,50,152,262144,269.382333,114.264676
swarm,50,153,262144,76.027666,115.565251
swarm,50,154,262144,104.484,99.927992
swarm,50,155,262144,17.451333,103.341743
swarm,50,156,262144,53.682666,114.552224
swarm,50,157,262144,82.690666,95.364634
swarm,50,158,262144,50.538666,107.464381
swarm,50,159,262144,27.279666,107.798082
swarm,50,160,262144,43.980333,115.329487
swarm,50,161,262144,88.181666,124.897253
swarm,50,162,262144,288.918666,113.788145
swarm,50,163,262144,48.098666,111.734698
swarm,50,164,262144,207.132333,83.010763
swarm,50,165,262144,216.851333,111.724814
swarm,50,166,262144,102.174666,98.953673
swarm,50,167,262144,43.7,118.190643
swarm,50,168,262144,139.567333,106.913779
swarm,50,169,262144,109.981333,112.052052
swarm,50,170,262144,53.749666,92.428752
swarm,50,171,262144,58.718333,108.579006
swarm,50,172,262144,60.857,115.072796
swarm,50,173,262144,121.072,104.187511
swarm,50,174,262144,61.519666,99.445675
swarm,50,175,262144,55.792666,124.353386
swarm,50,176,262144,64.987333,89.269472
swarm,50,177,262144,152.140333,162.762874
swarm,50,178,262144,169.245,132.927348
swarm,50,179,262144,376.628333,99.901368
swarm,50,180,262144,114.484,171.85565
swarm,50,181,262144,138.754666,120.616221
swarm,50,182,262144,63.316,94.2962
swarm,50,183,262144,231.197666,106.059497
swarm,50,184,262144,58.794333,104.096364
swarm,50,185,262144,57.823666,90.101431
swarm,50,186,262144,41.737,117.07567
swarm,50,187,262144,99.524333,94.117524
swarm,50,188,262144,36.327666,93.833433
swarm,50,189,262144,56.365,74.204559
swarm,50,190,262144,50.149,98.132096
swarm,50,191,262144,332.690666,79.256651
swarm,50,192,262144,36.045,66.084221
swarm,50,193,262144,113.919333,101.779816
swarm,50,194,262144,100.886,76.173744
swarm,50,195,262144,486.099333,76.512638
swarm,50,196,262144,167.546666,97.989269
